Tournament Name:,VM 10-Ball - Part 1,,,,,,,,,,,,,,,
Date:,2026-05-31,,,,,,,,,,,,,,,
Discipline:,10Ball,,,,,,,,,,,,,,,
Total Rounds:,4,,,,,,,,,,,,,,,
Total Players:,19,,,,,,,,,,,,,,,
Ranking System:,Rack Differential,,,,,,,,,,,,,,,
RP:,Enabled,,,,,,,,,,,,,,,
Rank:,Enabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Place,PLAYER,R1,R2,R3,R4,MP,Prestige,Rank,Games,Racks Won,Racks Lost,Rack Diff,Avg Performance,Start ELO,Final ELO,ELO Change
1,Maik Schlegel,1,1,1,0.5,3.5,80,86,4,22,10,+12,1765,1720,1753,+33
2,Paul Weißbach,1,1,1,0.5,3.5,81,84,4,20,12,+8,1757,1722,1762,+40
3,Renato Tupas,0.5,0.5,1,1,3,74,76,4,22,10,+12,1705,1716,1715,-1
4,Richard Juros,1,1,0,1,3,75,76,4,21,11,+10,1804,1798,1809,+11
5,Carsten Gäbler,1,0,0.5,1,2.5,68,66,4,21,11,+10,1739,1682,1687,+5
6,Michael Nuck,0,1,1,-,2,54,57,3,16,8,+8,1754,1599,1621,+22
7,Leonid Potapov,-,1,0,1,2,56,54,3,13,11,+2,1705,1631,1657,+26
8,Janoš Nuck,1,0,1,0,2,61,53,4,17,15,+2,1616,1753,1715,-38
9,Thomas Dahlmann,0.5,0.5,0,1,2,61,51,4,16,16,+0,1482,1656,1613,-43
10,Roberto Stephan,0,0,1,1,2,65,49,4,14,18,- 4,1491,1447,1469,+22
11,Henry Heim,0,1,1,0,2,63,49,4,9,15,- 6,1533,1410,1428,+18
12,Paul Samuel Heim,1,0,0.5,-,1.5,46,44,3,12,12,+0,1673,1747,1731,-16
13,Uwe Draeger,0,0.5,0,1,1.5,56,41,4,15,17,- 2,1490,1546,1519,-27
14,Henry Zieger,0,0.5,1,0,1.5,61,38,4,11,21,- 10,1499,1468,1491,+23
15,Conny Martin-Schwabe,0.5,0.5,0,0,1,53,31,4,14,18,- 4,1486,1433,1420,-13
16,Quang Anh Tran,0,1,0,0,1,52,31,4,13,19,- 6,1555,1556,1536,-20
17,Greta Dahlmann,0.5,0.5,0,0,1,54,30,4,12,20,- 8,1486,1334,1352,+18
18,Anton Schönberger,1,0,0,-,1,40,28,3,7,17,- 10,1407,1682,1641,-41
19,Sebastian Bellmann,0,0,1,0,1,50,26,4,5,19,- 14,1351,1393,1375,-18
