Tournament Name:,9-Ball VM 2026 - Part 1,,,,,,,,,,,,,,,
Date:,2026-04-13,,,,,,,,,,,,,,,
Discipline:,9Ball,,,,,,,,,,,,,,,
Total Rounds:,4,,,,,,,,,,,,,,,
Total Players:,22,,,,,,,,,,,,,,,
Ranking System:,Rack Differential,,,,,,,,,,,,,,,
RP:,Enabled,,,,,,,,,,,,,,,
Rank:,Enabled,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Place,PLAYER,R1,R2,R3,R4,MP,Prestige,Rank,Games,Racks Won,Racks Lost,Rack Diff,Avg Performance,Start ELO,Final ELO,ELO Change
1,Richard Juros,1,1,1,1,4,87,94,4,21,11,+10,1777,1754,1798,+44
2,Carsten Gäbler,1,1,0,1,3,79,75,4,21,11,+10,1773,1640,1682,+42
3,Feras Abou Al Fadel,1,1,1,0,3,76,75,4,21,11,+10,1750,1679,1706,+27
4,Paul Weißbach,1,0,1,1,3,76,75,4,21,11,+10,1733,1707,1722,+15
5,Uwe Draeger,0,1,1,1,3,78,73,4,20,12,+8,1632,1496,1546,+50
6,Renato Tupas,1,0.5,0,1,2.5,70,65,4,19,13,+6,1749,1700,1716,+16
7,Paul Samuel Heim,1,0.5,1,0,2.5,68,64,4,18,14,+4,1704,1761,1747,-14
8,Leonid Potapov,1,0.5,0,1,2.5,67,61,4,18,14,+4,1509,1659,1631,-28
9,Henry Heim,1,0.5,1,0,2.5,73,61,4,12,12,+0,1597,1365,1410,+45
10,Paul Kühn,1,0,1,0,2,64,53,4,17,15,+2,1654,1665,1657,-8
11,Anton Schönberger,1,0,0,1,2,62,53,4,17,15,+2,1643,1700,1682,-18
12,Nico Drößler,0,0,1,1,2,62,51,4,16,16,+0,1549,1611,1596,-15
13,Viktoria Dahlmann,0,1,1,0,2,68,49,4,13,19,- 6,1521,1439,1475,+36
14,Minh Hanh Doan,0,1,0,1,2,65,49,4,13,19,- 6,1493,1587,1577,-10
15,Quang Anh Tran,0,0.5,0,1,1.5,56,41,4,15,17,- 2,1475,1600,1556,-44
16,Thomas Dahlmann,1,0.5,0,0,1.5,55,41,4,13,19,- 6,1585,1689,1656,-33
17,Greta Dahlmann,0,0.5,0,1,1.5,59,36,4,11,21,- 10,1312,1322,1334,+12
18,Dat Thang Vu,-,1,0,0,1,41,35,3,13,11,+2,1654,1582,1568,-14
19,Roberto Stephan,0,0,1,0,1,51,31,4,14,18,- 4,1486,1463,1447,-16
20,Henry Zieger,0,0,1,0,1,51,29,4,12,20,- 8,1418,1503,1468,-35
21,Sebastian Bellmann,0,0.5,0,0,0.5,45,19,4,11,21,- 10,1423,1415,1393,-22
22,Oskar Römer,0,0,0,0,0,40,7,4,8,24,- 16,1301,1324,1293,-31
